PROJETO-ID,PROJETO
123,2103 - CV - BANCO DO BRASIL/FCPC/APOIO AS ATIVIDADES DA FCPC
124,2104 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2008
125,2105 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2009
126,2106 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2010
127,2107 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2011
128,2108 - CV -  BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC 2012
129,2109 - CV -  BNB/FCPC - LABORATORIO DE ESTUDOS DE POLITICAS PUBLICAS(LEPP)
130,2111 - CT - PETROBRAS/FCPC-MONITORAMENTO IPIRANGA
131,2112 - CV - IJF/UFC/FCPC-MANUTENCAO DA AREA DE POS-GRADUACAO EM TRAUMA
132,2114 - CV.BNB/FCPC - CAIO PRADO JUNIOR
133,2118 - CT -  FCPC/CDSA-SENSOR OPTICO PARA MEDIDAS DE ALTAS TENSOES E CORRENTES
134,2119 - CV - ERICSSON/UFC/FCPC - TERMO ADITIVO 07/2008
135,2121 - CV - ERICSSON/UFC/FCPC - TERMO ADITIVO 08/2008
136,"2126 - CT -  BRISTOL/FCPC/UFC - PESQUISAS, TESTES E ENSAIOS NA AREA DE ANTI-INF"
137,2130 - CV - BNB/FCPC/UFC - DIFUSAO DA PRODUCAO CIENTIFICA DA UFC
138,2133 - CT -  CPRM/FCPC-MAPEAMENTO GEOLOGICO E LEVANTAMENTO
139,"2137 - CV -  FINEP/FADE/UFC/FCPC-BIODIESEL, PETROLEO E ENERGIA"
140,2142 - CV -  FUNCAP/FCPC - 02/2008 - EVENTOS
141,2143 - CV -  BNB/FUNDECI/EMBRAPA/FCPC - CORDEIRO DO CARIRI
142,2144 - CT - UFC/FCPC - FORTALECIMENTO DA EDUCACAO EM DIREITOS HUMANOS
143,2147 - CV -  FUNCAP/FCPC-06/2008
144,2151 - CV -  FUNCAP/FCPC- 03/2008 - SEGURANCA PUBLICA
145,2153 - CV -  FUNCAP/FCPC - 07/2008 - PROGRAMA PRIMEIROS PROJETOS - PPP
146,2155 - CV -  FUNCAP/FCPC-09/2008 - PROGRAMA PRONEX
147,2156 - CV -  FUNCAP/FCPC - 10/2008 - TECNOLOGIA DA INFORMACAO
148,2167 -  CV. BNB/FCPC/EMBRAPA CNPAT- AVALIAÃ‡ÃƒO PROGENIES
149,2168 - CV -  FINEP/FCPC - PRO-INFRA 01/2007
150,2169 - CV -  FINEP/FCPC-GESTAO DAS AGUAS SEMI-ARIDO
151,2171 - CV -  SECULT/FCPC - COLECAO NOSSA CULTURA
152,2173 - CT - UFC/FCPC - CONCURSO RESIDENCIA EM FISIOTERAPIA HOSPITALAR
153,2174 - CT -  UFC/FCPC - RESIDENCIA EM FARMACIA HOSPITALAR 2009
154,2175 - CT -  UFC/FCPC-MIDIAS NA EDUCACAO - CICLO AVANCADO
155,2177 - CT -  FCPC/UFC - CONEXOES DE SABERES
156,2180 - CT -  UFC/FCPC -PROJETO DESCENTRALIZACAO REDE NAC.DE FORM. CONTINUADA
157,2182 - CV -  SECITECE/FCPC -CONST. DA CLINICA ODONTOLOGICA CAMPUS SOBRAL
158,2185 - CT -  UFC/FCPC - CURSO DE GRADUACAO UAB 3Âº E 4Âº SEMESTRE
159,2186 - CT - UFC/FCPC-CURSO DE GRADUACAO ADMINISTRACAO - 4Âº E 5Âº SEMESTRE
160,2188 - CV -  ERICSSSON/UFC/FCPC - TERMO ADITIVO 09/2009
161,2189 - CV -  SICONV/SEAP/UFC/FCPC - CEBIAQUA
162,2191 - CT -  UNIVERS.DE COLUMBIA/FCPC -GEREN. DO RISCO CLIMAT. P/ SUSTENT.HIDRI
163,2194 - CV - FINEP/FCPC - SIBRATEC 03/2008
