PROJETO-ID,PROJETO
176,1312 - CT - UFC/FCPC/C.ESP.EM EST.LITERARIOS/03
177,1313 - CT - UFC/FCPC/CURSO ETI/2003
178,1314 - CT - UFC/FCPC/C.ESP.HEMATOLOGIA II/2003
179,1315 - CT - UFC/FCPC/CURSO ETIGI II
180,1316 - CT FCPC/PETROBRAS -MARAMBAIA-PARACURU/CE
181,1317 - CT - UFC/FCPC/CONCURSO PUBLICO 2003
182,1318 - CT  SINDICAJU/EMBRAPA/FCPC-  FATORES QUE
183,1319 - CV INST.ATLANTICO/FCPC-PLANO TRABALHO 04
184,1320 - CV INST.ATLANTICO/FCPC-PLANO TRABALHO 05
185,1321 - NAJA TURISMO/FCPC/HENRY
186,1322 - CV - BN/FCPC/FINANCAS PUBLICAS MUNICIPAIS
187,1323 - CARTA/CASCAJU/ANALISE SENSORIAL SENSORIAL
188,1324 - CT FCPC/IMP.UNIVERSITARIA-REVISTA IDEIAS
189,1325 - CV - INST.ATLANT.PLANO DE TRABALHO N. 6
190,1326 - CT - ABCC/FCPC/SOL.DE EMERSAO DE CAMARAO
191,1328 - CV - UNIMED/FCPC/HOSPITAL SAO JOSE
192,1329 - CT - UFC/FCPC-VESTIBULAR 2004
193,1330 - FCPC/EMBRAPA/INCAJU
194,1331 - CT FCPC / EAF / IGUATU - CURSOS
195,1332 - CT - UFC/FCPC/CURSO ESP.ANAL.CLINICAS 2003
196,1333 - CV - SIEMENS/FCPC/COPERA
197,1334 - REITOR / FCPC
198,1335 - FCPC / SECRETARIA EXECUTIVA
199,1336 - CV - DIGITRO/UFC/FCPC-COOPERACAO TECNICA
200,1337 - CT FCPC/VESTIBULAR PIAUI / 2004
201,1338 - FCPC / IMPRENSA UNIVERSITARIA
202,1339 - CT - FCPC-FANOR-FACULDADE DO NORDESTE
203,1340 - CV - SOLECTRON/UFC/FCPC/COOPERAGCO TECNICA
204,1341 - CARTA/BN/FCPC-PATROCINIO JORNAL DA EDUCACAO
205,1342 - CARTA/5.ENCONTRO INTERNACIONAL-RIRL
206,1343 - CT - UFC/FCPC/ESPIE
207,1344 - CV - INTELBRAS/FCPC/COOPERACAO TECNICA
208,1345 - CV ERICSSON/UFC/FCPC
209,1346 - CV - EMBRAPA/PRODETAB/FCPC/105-02/01
210,1347 - CV - FLEXTRONICS/FCPC/COOPERACAO TECNICA
211,1348 - CV - FCPC/ELETROBRAS/ECV-932/2003
212,1349 - CT - CENTEC/FCPC/OLIMPIADA DE MATEMATICA
213,1350 - CT - FCPC/UFC/CASAS DE CULTURA
214,1351 - CV - INCRA/FCPC/UFC-COOPERACAO TECNICA
215,1352 - CV - UNITRABALHO/UFC/AVA.QUAL.PROF.-QSP
216,1353 - CV - PRODETAB/FCPC/EMBRAPA-104-02/01
217,1354 - CV - PRODETAB/FCPC/EMBRAPA-101-02/01
218,1355 - CT - FCPC/ANVS/PNUD/HUWC/FARMACIA
219,1356 - CT - FCPC/PREF.MORRINHOS-FARMACIAS VIVIAS
220,1357 - CT - SEDAS/FCPC/OLIMPIADAS DE MAT.E CIENCI
221,1358 - CV -  SEMACE/FCPC-IMPLANTACAO DAS APAS
222,1359 - FCPC/I CONGRESSO INTERN.EM AVAL.EDUCAC.
223,1360 - VESTIBULAR / FDH 2004.1
224,1361 - CV - ICATEL/FCPC/COOPERACAO TECNICA
225,1362 - CV - FUNCAP/FCPC N. 01/2004.
226,1363 - CT - FCPC/PETROBRAS/CENPES-FOGAO SOLAR
227,1368 - CT - FCPC/EMBRAPA/ROHM/POS-COLHEITA  MELAO
228,1369 - CT - FCPC/EMBRAPA/ROHM/MELAO  EXPORTACAO A
